"국적(지역)별(1)","성별(1)",2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"국적(지역)별(1)","성별(1)",합계,외교(A-1),공무(A-2),사증면제(B-1),관광통과(B-2),일시취재(C-1),단기방문(C-3),단기취업(C-4),문화예술(D-1),유학(D-2),기술연수(D-3),일반연수(D-4),취재(D-5),종교(D-6),주재(D-7),기업투자(D-8),무역경영(D-9),구직(D-10),교수(E-1),회화(E-2),연구(E-3),기술지도(E-4),전문직업(E-5),예술흥행(E-6),특정활동(E-7),비전문취업(E-9),선원취업(E-10),방문동거(F-1),거주(F-2),동반(F-3),재외동포(F-4),영주(F-5),결혼이민(F-6),기타(G-1),관광취업(H-1),방문취업(H-2),관광상륙(T-1),기타(Others),합계,외교(A-1),공무(A-2),사증면제(B-1),관광통과(B-2),일시취재(C-1),단기방문(C-3),단기취업(C-4),문화예술(D-1),유학(D-2),기술연수(D-3),일반연수(D-4),취재(D-5),종교(D-6),주재(D-7),기업투자(D-8),무역경영(D-9),구직(D-10),교수(E-1),회화(E-2),연구(E-3),기술지도(E-4),전문직업(E-5),예술흥행(E-6),특정활동(E-7),비전문취업(E-9),선원취업(E-10),방문동거(F-1),거주(F-2),동반(F-3),재외동포(F-4),영주(F-5),결혼이민(F-6),기타(G-1),관광취업(H-1),방문취업(H-2),관광상륙(T-1),기타(Others),합계,외교(A-1),공무(A-2),사증면제(B-1),관광통과(B-2),일시취재(C-1),단기방문(C-3),단기취업(C-4),문화예술(D-1),유학(D-2),기술연수(D-3),일반연수(D-4),취재(D-5),종교(D-6),주재(D-7),기업투자(D-8),무역경영(D-9),구직(D-10),교수(E-1),회화(E-2),연구(E-3),기술지도(E-4),전문직업(E-5),예술흥행(E-6),특정활동(E-7),비전문취업(E-9),선원취업(E-10),방문동거(F-1),거주(F-2),동반(F-3),재외동포(F-4),영주(F-5),결혼이민(F-6),기타(G-1),관광취업(H-1),방문취업(H-2),관광상륙(T-1),기타(Others),합계,외교(A-1),공무(A-2),사증면제(B-1),관광통과(B-2),일시취재(C-1),단기방문(C-3),단기취업(C-4),문화예술(D-1),유학(D-2),기술연수(D-3),일반연수(D-4),취재(D-5),종교(D-6),주재(D-7),기업투자(D-8),무역경영(D-9),구직(D-10),교수(E-1),회화(E-2),연구(E-3),기술지도(E-4),전문직업(E-5),예술흥행(E-6),특정활동(E-7),비전문취업(E-9),선원취업(E-10),방문동거(F-1),거주(F-2),동반(F-3),재외동포(F-4),영주(F-5),결혼이민(F-6),기타(G-1),관광취업(H-1),방문취업(H-2),관광상륙(T-1),기타(Others),합계,외교(A-1),공무(A-2),사증면제(B-1),관광통과(B-2),일시취재(C-1),단기방문(C-3),단기취업(C-4),문화예술(D-1),유학(D-2),기술연수(D-3),일반연수(D-4),취재(D-5),종교(D-6),주재(D-7),기업투자(D-8),무역경영(D-9),구직(D-10),교수(E-1),회화(E-2),연구(E-3),기술지도(E-4),전문직업(E-5),예술흥행(E-6),특정활동(E-7),비전문취업(E-9),선원취업(E-10),방문동거(F-1),거주(F-2),동반(F-3),재외동포(F-4),영주(F-5),결혼이민(F-6),기타(G-1),관광취업(H-1),방문취업(H-2),관광상륙(T-1),기타(Others)
"총계","계",2049441,2992,2230,112323,118566,27,190443,594,70,76040,2950,41592,89,1719,1631,5999,5697,5588,2511,15450,3174,187,618,4302,21498,279187,15312,103826,39681,22828,372533,130237,121332,17278,1917,254950,22239,51831,2180498,3330,2533,177629,121725,28,199518,1719,83,86875,2705,49939,87,1723,1340,5939,2982,6129,2427,14352,3214,185,597,3704,21206,279127,16069,111449,40594,22457,415121,136334,122523,21197,2346,238880,10298,54134,2367607,3750,3002,228194,149474,28,218743,1302,72,102690,2461,59729,95,1594,1308,5889,2520,6281,2341,13749,3145,191,606,3633,21884,280312,17447,118192,41099,22360,444880,142151,125238,29822,2888,250381,2902,57254,2524656,4068,3483,248753,204541,38,256696,1645,60,118254,1964,63691,91,1561,1400,5909,2352,5419,2187,13910,3132,220,624,3549,21314,276755,17603,122886,43671,22890,464152,153291,131034,36507,3136,226322,2637,58911,2036075,4613,3661,179332,51977,21,114261,2356,36,101810,1634,52952,110,1254,1057,5587,2136,7642,2053,12621,3110,199,374,3011,19534,236950,17552,105382,43666,20050,466682,160947,133987,33196,874,154537,257,90654
"총계","남자",1117206,1597,1395,56041,55209,21,101814,443,37,31731,2095,18985,77,1032,1465,5425,5347,2513,1836,7225,2765,182,616,1122,15258,255109,15298,41629,16719,7786,180539,58450,19939,14100,360,146396,9073,37577,1191294,1766,1554,89059,57107,24,110374,1171,39,36175,1956,25035,74,1035,1171,5328,2766,2716,1791,6429,2745,180,594,1084,14976,254750,16056,45680,17477,7892,200813,60675,20997,17044,378,140651,4095,39637,1288847,1957,1763,111788,70298,21,120760,926,36,43540,1798,31305,73,895,1129,5265,2325,2790,1718,5776,2667,187,602,1173,15077,256354,17433,48252,17968,7952,213958,63326,22397,23327,489,150193,1185,42144,1346134,2102,2090,119898,88079,31,134278,1233,28,51376,1431,33741,70,859,1221,5264,2119,2326,1625,5492,2626,219,616,1131,14886,253848,17591,49756,19310,8266,222007,69780,24248,27515,554,136533,1100,42885,1126972,2405,2168,88622,30521,16,74116,2008,18,45823,1195,28543,83,693,907,4976,1919,3343,1531,4957,2560,198,371,884,14297,216903,17545,42895,19354,7457,228317,74714,26042,24813,196,93196,144,63242
"총계","여자",932235,1395,835,56282,63357,6,88629,151,33,44309,855,22607,12,687,166,574,350,3075,675,8225,409,5,2,3180,6240,24078,14,62197,22962,15042,191994,71787,101393,3178,1557,108554,13166,14254,989204,1564,979,88570,64618,4,89144,548,44,50700,749,24904,13,688,169,611,216,3413,636,7923,469,5,3,2620,6230,24377,13,65769,23117,14565,214308,75659,101526,4153,1968,98229,6203,14497,1078760,1793,1239,116406,79176,7,97983,376,36,59150,663,28424,22,699,179,624,195,3491,623,7973,478,4,4,2460,6807,23958,14,69940,23131,14408,230922,78825,102841,6495,2399,100188,1717,15110,1178521,1966,1393,128855,116461,7,122418,412,32,66878,533,29950,21,702,179,645,233,3093,562,8418,506,1,8,2418,6428,22907,12,73130,24361,14624,242145,83511,106786,8992,2582,89789,1537,16026,909103,2208,1493,90710,21456,5,40145,348,18,55987,439,24409,27,561,150,611,217,4299,522,7664,550,1,3,2127,5237,20047,7,62487,24312,12593,238365,86233,107945,8383,678,61341,113,27412
"총계","제3의성",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"아시아주계","계",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2193440,1836,1889,211993,153398,34,252960,1149,45,108919,1962,61571,67,938,966,4365,1150,4727,822,970,2666,30,208,2633,17525,276634,17601,114947,41298,16993,366199,149330,120875,25198,1862,224626,2589,2465,1756621,2046,1921,164838,26289,16,111071,1802,24,95844,1632,50348,75,842,714,4194,1073,6777,800,485,2637,38,97,2183,15865,236839,17552,97824,41115,14509,371909,156703,122392,22956,442,153163,237,29369
"아시아주계","남자",962177,691,829,44102,36652,19,99695,318,27,27944,2093,18098,53,474,1064,3921,1650,2122,584,138,2313,12,176,615,12574,254986,15298,39522,15878,5118,140448,56371,14515,9056,94,145738,8627,362,1026505,793,900,73157,36929,22,107774,962,28,32117,1954,24185,51,478,809,3878,1094,2267,599,104,2320,15,180,582,12219,254645,16056,42941,16505,5543,158326,58476,15330,10880,100,139838,4044,404,1112300,870,958,93399,47263,16,118095,664,27,39324,1797,30551,51,463,780,3869,1061,2248,598,97,2257,30,178,633,12522,256254,17433,44746,16849,5703,169787,61032,16460,15356,157,149236,1169,367,1159832,936,1143,98346,61703,27,131458,918,22,47017,1430,33068,51,457,830,3870,982,1943,580,89,2216,30,205,583,12439,253750,17591,45842,17956,6060,176431,67306,17952,18637,166,135552,1082,1164,968334,1048,1158,79448,16968,12,71798,1667,9,42995,1194,27661,59,409,592,3724,921,2859,563,60,2145,37,97,421,11932,216814,17545,39113,17929,5339,184459,72070,18962,16989,32,92406,138,18761
"아시아주계","여자",816309,594,465,47309,46049,6,87634,38,21,40585,854,21429,9,396,126,434,161,2828,306,1345,355,0,0,2836,5024,24050,13,60270,22398,10285,145718,70480,98869,2433,1245,108069,12658,1017,866471,694,544,77325,46124,4,88232,369,36,46622,748,23763,9,418,129,452,134,3123,279,1126,421,0,0,2306,4907,24350,13,63111,22449,10534,165725,74312,98718,3199,1442,97635,6152,1066,944852,824,670,102900,57257,7,97052,203,32,54760,658,27044,17,463,130,471,142,3123,278,1058,424,0,0,2144,5487,23934,12,66435,22320,10658,180411,77426,99613,4929,1710,99483,1687,1090,1033608,900,746,113647,91695,7,121502,231,23,61902,532,28503,16,481,136,495,168,2784,242,881,450,0,3,2050,5086,22884,10,69105,23342,10933,189768,82024,102923,6561,1696,89074,1507,1301,788287,998,763,85390,9321,4,39273,135,15,52849,438,22687,16,433,122,470,152,3918,237,425,492,1,0,1762,3933,20025,7,58711,23186,9170,187450,84633,103430,5967,410,60757,99,10608
"북아메리카주계","계",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,183771,482,535,671,40487,3,203,61,4,1395,0,232,5,364,223,320,234,127,762,8721,74,97,82,163,1786,1,0,1163,857,1842,61175,1746,4257,16,95,0,17,55571,167374,577,557,535,23116,1,329,41,5,578,0,425,15,191,184,323,135,194,695,8047,71,90,56,141,1750,0,0,1247,884,1799,59406,1860,4752,38,48,0,3,59281
"북아메리카주계","남자",94817,212,201,198,14027,1,147,32,3,474,0,97,8,388,122,289,285,124,729,4824,92,104,106,125,1217,0,0,826,360,795,27632,1128,2868,12,26,1,249,37115,96878,215,229,279,15536,1,132,77,6,453,0,80,6,385,142,291,140,124,704,4210,77,98,97,112,1207,0,0,781,426,791,26979,1173,2935,12,27,1,31,39121,100947,223,297,366,17951,4,126,64,4,418,0,80,9,271,165,265,166,119,648,3711,82,85,93,95,1144,0,0,783,469,779,26616,1218,2995,14,31,0,6,41650,103528,227,345,339,20787,3,124,54,2,442,0,71,5,233,203,279,221,78,593,3480,68,97,81,123,1087,0,0,793,528,767,26790,1284,3105,10,34,0,6,41269,95454,300,340,261,12052,1,189,36,5,239,0,182,10,130,171,281,121,103,545,3068,65,90,55,103,1065,0,0,840,538,766,25817,1344,3434,26,17,0,1,43259
"북아메리카주계","여자",71512,220,101,180,13506,0,94,27,1,559,0,159,1,169,15,38,8,71,218,5066,6,2,1,41,710,0,0,383,184,1190,33998,380,879,6,24,0,295,12980,72382,217,115,263,14630,0,84,31,1,653,0,157,1,171,14,43,10,59,204,4939,5,3,1,30,740,0,0,361,221,1128,33738,391,945,4,43,0,29,13151,76005,234,179,310,17302,0,80,23,1,767,0,152,1,139,25,38,11,64,196,4879,5,2,1,25,712,0,0,355,274,1089,33875,419,1037,7,68,0,12,13723,80243,255,190,332,19700,0,79,7,2,953,0,161,0,131,20,41,13,49,169,5241,6,0,1,40,699,1,0,370,329,1075,34385,462,1152,6,61,0,11,14302,71920,277,217,274,11064,0,140,5,0,339,0,243,5,61,13,42,14,91,150,4979,6,0,1,38,685,0,0,407,346,1033,33589,516,1318,12,31,0,2,16022
"남아메리카주계","계",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7685,302,162,2848,417,0,326,57,2,842,1,263,0,52,9,31,19,47,21,15,22,7,89,115,189,13,0,179,125,233,288,59,661,99,39,0,6,147,5624,331,174,1078,271,0,333,37,0,621,1,256,0,44,6,23,15,60,19,9,32,6,54,87,183,12,0,168,144,220,271,65,803,113,18,0,6,164
"남아메리카주계","남자",2789,113,54,815,177,0,122,11,1,330,0,110,0,26,10,20,36,16,16,4,17,3,76,120,109,18,0,71,27,82,177,17,163,11,1,0,13,23,2929,120,58,939,185,0,119,20,1,346,0,77,0,28,11,29,17,24,12,5,20,3,80,109,124,11,0,65,29,79,171,20,180,20,2,0,0,25,3180,144,69,1099,187,0,120,34,0,332,0,73,0,27,6,28,17,37,16,4,17,5,87,131,114,10,0,68,42,73,144,20,200,38,9,0,0,29,3621,166,88,1381,220,0,155,34,0,307,0,90,0,31,8,29,18,21,11,4,16,7,87,89,127,9,0,82,72,60,156,22,220,62,7,0,1,41,2639,178,96,586,152,0,159,20,0,226,0,92,0,25,4,20,13,26,10,4,25,6,54,59,120,8,0,70,82,59,155,27,263,62,3,0,1,34
"남아메리카주계","여자",2754,100,41,764,128,0,137,6,0,446,1,170,0,33,1,3,5,12,13,2,1,0,1,21,35,6,0,79,17,223,138,31,243,9,4,0,13,71,3050,117,44,897,164,0,134,17,0,505,1,156,0,24,0,4,1,18,13,5,3,0,1,16,57,6,0,70,21,223,125,31,286,7,19,1,4,80,3518,124,62,1239,159,0,133,19,0,495,4,175,0,19,1,2,1,34,10,8,7,0,1,28,52,4,0,77,28,199,122,34,352,13,19,0,4,93,4064,136,74,1467,197,0,171,23,2,535,1,173,0,21,1,2,1,26,10,11,6,0,2,26,62,4,0,97,53,173,132,37,441,37,32,0,5,106,2985,153,78,492,119,0,174,17,0,395,1,164,0,19,2,3,2,34,9,5,7,0,0,28,63,4,0,98,62,161,116,38,540,51,15,0,5,130
"유럽주계","계",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,97906,753,554,30542,783,1,1174,333,7,4464,1,1145,17,133,179,886,700,161,434,1959,239,69,202,545,1384,30,2,6227,797,2246,29229,1798,3872,4027,1097,1695,21,200,75436,918,667,12130,135,4,1286,457,7,2636,1,1491,17,119,135,745,690,202,390,1919,216,46,136,508,1325,25,0,5771,879,1999,28300,1937,4527,3621,354,1374,8,461
"유럽주계","남자",35493,308,200,9861,109,1,743,66,6,1444,1,264,14,102,244,918,2433,79,390,1382,280,44,216,215,1076,22,0,1087,263,1162,8993,717,1607,261,217,646,86,36,41955,329,228,13474,158,1,855,94,4,1457,1,244,15,100,184,866,1238,86,369,1214,252,44,197,236,1121,19,0,1751,295,903,12063,769,1734,572,225,807,13,37,47677,379,267,15625,237,1,753,142,4,1570,1,253,12,84,160,837,840,93,347,1106,233,52,203,239,1018,16,0,2486,315,811,14134,801,1853,1523,273,956,9,44,53557,401,305,18427,499,1,764,201,3,1768,1,223,12,83,159,814,669,60,333,1054,207,68,201,271,944,16,0,2872,395,778,15296,874,1995,2501,322,980,10,50,40836,490,365,7916,101,3,901,268,4,893,1,374,11,81,125,685,654,72,304,1014,190,46,135,239,898,11,0,2689,416,690,14760,968,2342,2098,138,790,3,161
"유럽주계","여자",28277,258,166,7076,74,0,552,71,10,2067,0,683,2,64,19,81,127,81,101,743,40,3,0,254,363,16,1,1300,238,2308,8397,861,1200,145,274,481,87,134,33732,289,185,9055,86,0,489,117,7,2190,0,669,3,57,23,91,52,109,102,738,30,2,1,247,402,16,0,2057,263,1781,10961,884,1327,313,456,590,10,130,39308,324,218,10830,160,0,461,125,2,2402,0,853,4,57,20,83,23,120,103,786,31,2,1,232,416,15,2,2858,315,1529,12711,899,1543,759,584,704,11,125,44349,352,249,12115,284,0,410,132,4,2696,0,922,5,50,20,72,31,101,101,905,32,1,1,274,440,14,2,3355,402,1468,13933,924,1877,1526,775,715,11,150,34600,428,302,4214,34,1,385,189,3,1743,0,1117,6,38,10,60,36,130,86,905,26,0,1,269,427,14,0,3082,463,1309,13540,969,2185,1523,216,584,5,300
"오세아니아주계","계",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20880,137,78,2243,8684,0,26,39,0,126,0,50,2,17,17,59,34,11,70,448,18,14,34,36,215,1,0,71,84,254,7220,246,550,2,43,0,4,47,11673,154,72,565,1711,0,117,9,0,47,0,54,3,10,14,59,25,8,64,407,15,15,26,42,189,1,0,61,91,224,6755,261,589,2,12,0,3,68
"오세아니아주계","남자",9833,59,29,885,3193,0,16,7,0,80,0,20,2,13,20,80,624,8,68,314,8,14,32,24,136,1,0,23,28,180,3269,149,422,1,22,0,95,11,9186,61,37,908,3271,0,13,12,0,63,0,20,2,11,21,69,58,2,58,290,13,15,31,30,142,1,0,30,30,111,3257,157,432,1,24,0,7,9,9826,66,41,989,3927,0,11,12,0,65,0,10,1,9,15,57,42,7,56,243,12,11,33,24,127,1,0,36,45,103,3259,172,418,1,19,0,1,13,10434,76,52,1113,4276,0,18,20,0,48,0,30,2,11,16,48,32,5,52,222,18,14,33,27,133,1,0,37,60,91,3315,198,444,1,25,0,1,15,5897,87,52,272,844,0,62,7,0,24,0,35,3,6,12,44,25,3,46,190,15,15,25,29,117,1,0,33,66,79,3104,204,463,1,6,0,1,26
"오세아니아주계","여자",9134,44,13,860,3423,0,8,6,0,50,0,10,0,12,4,2,33,6,22,227,1,0,0,11,74,1,0,31,14,308,3723,28,78,0,10,0,111,24,8888,45,25,899,3381,0,5,13,0,58,0,12,0,4,2,4,4,6,22,201,0,0,0,12,78,0,0,29,17,177,3740,31,84,0,8,0,8,23,9756,53,27,983,4089,0,9,5,0,68,0,20,0,5,2,9,3,6,19,202,0,0,1,3,84,0,0,33,21,159,3781,38,91,0,18,0,3,24,10445,61,26,1130,4407,0,8,19,0,78,0,20,0,6,1,11,2,6,18,226,0,0,1,9,82,0,0,34,24,163,3905,48,106,1,18,0,3,32,5776,67,20,293,867,0,55,2,0,23,0,19,0,4,2,15,0,5,18,217,0,0,1,13,72,0,0,28,25,145,3651,57,126,1,6,0,2,42
"오세아니아주계","제3의성",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"아프리카주계","계",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20671,556,232,456,756,0,1949,6,2,2491,0,428,0,56,6,248,215,344,78,1797,113,3,9,57,215,76,0,204,492,1322,17,107,804,7159,0,0,0,473,19065,585,230,186,441,0,1080,10,0,2070,0,378,0,47,4,243,198,400,85,1754,139,4,5,50,222,73,0,226,534,1299,18,117,906,6460,0,0,0,1301
"아프리카주계","남자",11959,213,70,180,1046,0,1050,9,0,1456,1,391,0,28,5,197,319,164,49,563,55,5,10,23,146,82,0,65,154,449,12,68,359,4757,0,0,3,30,13666,246,89,302,1008,0,1428,6,0,1731,1,427,0,32,4,195,219,213,49,606,63,5,9,15,163,73,0,71,182,465,10,78,381,5557,0,0,0,38,14755,273,116,310,727,0,1608,9,1,1819,0,338,0,40,3,209,199,286,53,615,66,4,8,51,152,72,0,86,239,483,7,82,464,6394,0,0,0,41,15009,294,139,292,586,0,1723,6,1,1782,0,258,0,43,5,224,197,218,56,643,101,3,9,38,156,72,0,93,291,510,10,93,526,6299,0,0,0,341,13673,300,135,139,398,0,976,10,0,1438,0,199,0,41,3,222,185,280,63,621,120,4,5,33,165,69,0,117,315,524,14,98,569,5632,0,0,0,998
"아프리카주계","여자",4114,179,41,93,171,0,183,3,1,601,0,156,0,13,1,16,16,77,15,842,6,0,0,17,34,5,0,78,101,728,7,7,114,583,0,0,2,24,4532,202,54,131,222,0,178,1,0,669,0,147,0,14,1,17,15,98,16,914,10,0,0,9,46,5,0,84,135,722,5,9,157,629,0,0,0,42,5161,234,71,144,202,0,220,1,1,655,1,180,0,16,1,21,15,144,17,1040,11,0,0,28,56,5,0,114,163,774,5,8,197,786,0,0,0,51,5662,262,93,164,170,0,226,0,1,709,0,170,0,13,1,24,18,126,22,1154,12,0,0,19,59,4,0,111,201,812,7,14,278,860,0,0,0,132,5392,285,95,47,43,0,104,0,0,632,0,179,0,6,1,21,13,120,22,1133,19,0,0,17,57,4,0,109,219,775,4,19,337,828,0,0,0,303
"기타계","계",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,303,2,33,0,16,0,58,0,0,17,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,95,18,0,24,5,15,6,0,1,0,8,282,2,40,0,14,0,45,0,0,14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,85,19,0,23,4,18,6,0,0,0,10
"기타계","남자",138,1,12,0,5,0,41,0,0,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,9,0,8,0,5,2,0,11,0,0,175,2,13,0,20,0,53,0,0,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,41,10,0,7,2,5,2,0,5,0,3,162,2,15,0,6,0,47,1,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,47,9,0,11,1,7,1,0,1,0,0,153,2,18,0,8,0,36,0,0,12,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,37,8,0,9,3,6,5,0,1,0,5,139,2,22,0,6,0,31,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,0,8,3,9,5,0,0,0,3
"기타계","여자",135,0,8,0,6,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10,0,13,0,10,2,0,4,0,4,149,0,12,0,11,0,22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,11,0,14,1,9,1,0,3,0,5,160,0,12,0,7,0,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,10,0,17,1,8,1,0,1,0,4,150,0,15,0,8,0,22,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58,10,0,15,2,9,1,0,0,0,3,143,0,18,0,8,0,14,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52,11,0,15,1,9,1,0,0,0,7
